Jamaica,JAM,"Life expectancy at birth, total (years)",72.31317073,75.29982927
Jordan,JOR,"Life expectancy at birth, total (years)",71.7797561,73.74641463
Japan,JPN,"Life expectancy at birth, total (years)",81.07609756,83.09609756
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",65.51707317,69.61
Kenya,KEN,"Life expectancy at birth, total (years)",50.78517073,60.27278049
Kyrgyzstan,KGZ,"Life expectancy at birth, total (years)",68.55853659,70.00243902
Cambodia,KHM,"Life expectancy at birth, total (years)",58.35087805,67.32887805
Kiribati,KIR,"Life expectancy at birth, total (years)",63.95068293,65.59607317
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",,
Republic of Korea,KOR,"Life expectancy at birth, total (years)",75.83536585,81.21341463
Kosovo,KSV,"Life expectancy at birth, total (years)",67.95121951,70.49756098
Kuwait,KWT,"Life expectancy at birth, total (years)",73.3137561,74.35185366
Latin America & Caribbean (developing only),LAC,"Life expectancy at birth, total (years)",71.02305226,74.15740609
Lao People's Democratic Republic,LAO,"Life expectancy at birth, total (years)",58.8792439,65.2485122
Lebanon,LBN,"Life expectancy at birth, total (years)",74.43170732,78.90846341
Liberia,LBR,"Life expectancy at birth, total (years)",52.40912195,60.20436585
Libya,LBY,"Life expectancy at birth, total (years)",70.57253659,71.64956098
St. Lucia,LCA,"Life expectancy at birth, total (years)",71.42304878,74.77763415
Latin America & Caribbean (all income levels),LCN,"Life expectancy at birth, total (years)",71.50723419,74.48755315
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",55.59397995,62.33010211
Low income,LIC,"Life expectancy at birth, total (years)",52.15507054,60.25992568
Liechtenstein,LIE,"Life expectancy at birth, total (years)",76.82682927,82.38292683
Sri Lanka,LKA,"Life expectancy at birth, total (years)",71.10639024,74.5312439
Lower middle income,LMC,"Life expectancy at birth, total (years)",62.80624177,66.66334194
Low & middle income,LMY,"Life expectancy at birth, total (years)",65.38495024,69.08370817
Lesotho,LSO,"Life expectancy at birth, total (years)",47.18297561,48.836
Lithuania,LTU,"Life expectancy at birth, total (years)",72.0195122,73.86341463
Luxembourg,LUX,"Life expectancy at birth, total (years)",77.87317073,81.39268293
Latvia,LVA,"Life expectancy at birth, total (years)",70.31463415,73.77804878
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",77.62282927,80.12317073
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",76.97073171,79.02195122
Morocco,MAR,"Life expectancy at birth, total (years)",68.49760976,73.36465854
Monaco,MCO,"Life expectancy at birth, total (years)",,
Republic of Moldova,MDA,"Life expectancy at birth, total (years)",66.89002439,70.7724878
Madagascar,MDG,"Life expectancy at birth, total (years)",58.47280488,64.24665854
Maldives,MDV,"Life expectancy at birth, total (years)",70.05970732,76.46234146
Middle East & North Africa (all income levels),MEA,"Life expectancy at birth, total (years)",69.74470253,72.43953027
Mexico,MEX,"Life expectancy at birth, total (years)",74.29973171,76.35409756
Marshall Islands,MHL,"Life expectancy at birth, total (years)",65.23902439,
Middle income,MIC,"Life expectancy at birth, total (years)",66.6640054,70.10007325
"The former Yugoslav republic of Macedonia",MKD,"Life expectancy at birth, total (years)",73.24219512,75.03126829
Mali,MLI,"Life expectancy at birth, total (years)",48.89643902,57.095
Malta,MLT,"Life expectancy at birth, total (years)",78.2,80.74634146
Myanmar,MMR,"Life expectancy at birth, total (years)",62.078,65.42778049
Middle East & North Africa (developing only),MNA,"Life expectancy at birth, total (years)",69.1884475,71.8508616
Montenegro,MNE,"Life expectancy at birth, total (years)",73.18204878,75.70507317
Mongolia,MNG,"Life expectancy at birth, total (years)",62.91387805,68.6135122
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",,
Mozambique,MOZ,"Life expectancy at birth, total (years)",48.68660976,54.21212195
Mauritania,MRT,"Life expectancy at birth, total (years)",60.01739024,62.56017073
Mauritius,MUS,"Life expectancy at birth, total (years)",71.66341463,73.86341463
Malawi,MWI,"Life expectancy at birth, total (years)",44.07992683,60.05029268
Malaysia,MYS,"Life expectancy at birth, total (years)",72.86778049,74.42331707
North America,NAC,"Life expectancy at birth, total (years)",76.89243196,79.02296343
Namibia,NAM,"Life expectancy at birth, total (years)",55.12070732,63.88114634
New Caledonia,NCL,"Life expectancy at birth, total (years)",75.16341463,77.12195122
Niger,NER,"Life expectancy at birth, total (years)",50.69795122,60.07253659
Nigeria,NGA,"Life expectancy at birth, total (years)",46.624,52.105
Nicaragua,NIC,"Life expectancy at birth, total (years)",69.65807317,74.21246341
Netherlands,NLD,"Life expectancy at birth, total (years)",77.98780488,81.10487805
High income: nonOECD,NOC,"Life expectancy at birth, total (years)",69.74490188,73.63877092
Norway,NOR,"Life expectancy at birth, total (years)",78.63414634,81.45121951
Nepal,NPL,"Life expectancy at birth, total (years)",62.32663415,68.82331707
New Zealand,NZL,"Life expectancy at birth, total (years)",78.63658537,81.15609756
High income: OECD,OEC,"Life expectancy at birth, total (years)",77.82562989,80.54593588
OECD members,OED,"Life expectancy at birth, total (years)",77.08319896,79.78946045
Oman,OMN,"Life expectancy at birth, total (years)",72.35658537,76.58956098
Other small states,OSS,"Life expectancy at birth, total (years)",56.31538268,61.7378002
Pakistan,PAK,"Life expectancy at birth, total (years)",62.77317073,65.71687805
Panama,PAN,"Life expectancy at birth, total (years)",75.10197561,77.23704878
Peru,PER,"Life expectancy at birth, total (years)",70.50743902,74.05765854
Philippines,PHL,"Life expectancy at birth, total (years)",66.68212195,68.00707317
Palau,PLW,"Life expectancy at birth, total (years)",70.49365854,
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",58.79929268,62.29990244
Poland,POL,"Life expectancy at birth, total (years)",73.74878049,76.74634146
Puerto Rico,PRI,"Life expectancy at birth, total (years)",76.68926829,78.92541463
"Democratic People's Republic of Korea",PRK,"Life expectancy at birth, total (years)",64.98256098,69.49419512
Portugal,PRT,"Life expectancy at birth, total (years)",76.31463415,80.37317073
Paraguay,PRY,"Life expectancy at birth, total (years)",70.07468293,72.654
Pacific island small states,PSS,"Life expectancy at birth, total (years)",66.70544978,69.53548143
