"Country","Year","All Causes","Communicable & other Group I","Noncommunicable diseases","Injuries"
"Portugal","2012","19815","1552","16338","1924"
"Portugal","2000","24909","2031","19616","3262"
"Qatar","2012","22923","2236","18236","2451"
"Qatar","2000","27102","2911","20653","3538"
"Republic of Korea","2012","17921","1452","13824","2646"
"Republic of Korea","2000","23891","1771","18805","3315"
"Republic of Moldova","2012","35472","3912","27189","4371"
"Republic of Moldova","2000","43034","5646","32122","5266"
"Romania","2012","28496","3076","22387","3034"
"Romania","2000","35680","5890","25713","4078"
"Russian Federation","2012","39906","4840","29245","5822"
"Russian Federation","2000","50706","6050","34057","10598"
"Rwanda","2012","54160","22931","25496","5733"
"Rwanda","2000","117363","75927","32808","8627"
"Saudi Arabia","2012","27174","3421","21223","2530"
"Saudi Arabia","2000","33652","5526","24673","3454"
"Senegal","2012","53970","26251","23529","4190"
"Senegal","2000","74595","44446","25244","4905"
"Serbia","2012","28151","1760","23899","2491"
"Serbia","2000","33396","2507","27868","3020"
"Sierra Leone","2012","117683","70714","38411","8558"
"Sierra Leone","2000","157907","100560","46533","10814"
"Singapore","2012","14354","1641","11555","1159"
"Singapore","2000","19028","1898","15489","1641"
"Slovakia","2012","25991","2068","21069","2854"
"Slovakia","2000","30695","2328","24984","3383"
"Slovenia","2012","21200","1313","17206","2682"
"Slovenia","2000","26583","1732","21198","3653"
"Solomon Islands","2012","41888","10879","26990","4019"
"Solomon Islands","2000","50302","16328","29141","4832"
"Somalia","2012","89247","52376","26110","10761"
"Somalia","2000","101532","65607","28219","7705"
"South Africa","2012","67514","34994","26934","5586"
"South Africa","2000","69032","34426","28667","5939"
"South Sudan","2012","80319","45698","26957","7663"
"South Sudan","2000","103380","65175","29569","8636"
"Spain","2012","16984","1163","14247","1574"
"Spain","2000","20455","1569","16438","2448"
"Sri Lanka","2012","28527","4131","20143","4252"
"Sri Lanka","2000","39730","6604","24361","8765"
"Sudan","2012","59210","27045","25267","6898"
"Sudan","2000","71794","37709","25864","8220"
"Suriname","2012","29901","6044","18650","5207"
"Suriname","2000","36786","9504","23149","4133"
"Swaziland","2012","87161","52456","27704","7002"
"Swaziland","2000","106704","67517","32026","7160"
"Sweden","2012","18308","917","15497","1893"
"Sweden","2000","20534","957","17399","2178"
"Switzerland","2012","17679","961","14872","1845"
"Switzerland","2000","20584","1161","16877","2546"
"Syrian Arab Republic","2012","43178","3775","21077","18327"
"Syrian Arab Republic","2000","32393","5466","24239","2688"
"Tajikistan","2012","42752","12024","27024","3704"
